id,name,releasedate,duration,directorid,producerid,writerid,imdb,budget,collection,certification,score
tt1621039,"Free Birds","8 November 2013 ","1h 31min",/name/nm0371755?ref_=tt_ov_dr,/company/co0051162?ref_=cons_tt_dt_co_1,/name/nm0608714?ref_=tt_ov_wr,5.9,"$55,000,000","$15,805,237",U,0.0000
tt1622547,"30 Minutes or Less","7 October 2011 ","1h 23min",/name/nm0281508?ref_=tt_ov_dr,/company/co0071509?ref_=cons_tt_dt_co_1,/name/nm2225652?ref_=tt_ov_wr,6.1,"$28,000,000","$13,330,118",A,0.0000
tt1622979,"Final Destination 5","12 August 2011 ","1h 32min",/name/nm0702797?ref_=tt_ov_dr,/company/co0046718?ref_=cons_tt_dt_co_1,/name/nm2104063?ref_=tt_ov_wr,5.9,"$40,000,000","$18,031,396","Rated R for strong violent/gruesome accidents, and some language",0.0000
tt1623205,"Oz the Great and Powerful","8 March 2013 ","2h 10min",/name/nm0000600?ref_=tt_ov_dr,/company/co0008970?ref_=cons_tt_dt_co_1,/name/nm0438449?ref_=tt_ov_wr,6.3,"$215,000,000","$79,110,453",UA,0.0000
tt1623288,ParaNorman,"17 August 2012 ","1h 32min",/name/nm2752098?ref_=tt_ov_dr,/company/co0042399?ref_=cons_tt_dt_co_1,/name/nm2752098?ref_=tt_ov_wr,7.0,"$60,000,000","$14,087,050","Rated PG for scary action and images, thematic elements, some rude humor and language",0.0000
tt1628841,"Independence Day: Resurgence","24 June 2016 ",2h,/name/nm0000386?ref_=tt_ov_dr,/company/co0000756?ref_=cons_tt_dt_co_1,/name/nm1288961?ref_=tt_ov_wr,5.2,"$165,000,000","$41,039,944","Rated PG - 13 for  sequences of sci - fi action and destruction, and for some  language",0.0000
tt1630036,Courageous,"30 September 2011 ","2h 9min",/name/nm1731937?ref_=tt_ov_dr,/company/co0005883?ref_=cons_tt_dt_co_1,/name/nm1731937?ref_=tt_ov_wr,7.0,"$2,000,000","$9,063,147","Rated PG-13 for some violence and drug content",0.0000
tt1631867,"Edge of Tomorrow","6 June 2014 ","1h 53min",/name/nm0510731?ref_=tt_ov_dr,/company/co0026840?ref_=cons_tt_dt_co_1,/name/nm0003160?ref_=tt_ov_wr,7.9,"$178,000,000","$28,760,246",UA,0.0000
tt1632708,"Friends with Benefits","9 September 2011 ","1h 49min",/name/nm0323239?ref_=tt_ov_dr,/company/co0010568?ref_=cons_tt_dt_co_1,/name/nm2226647?ref_=tt_ov_wr,6.6,"$35,000,000","$18,622,150",A,0.0000
tt1637688,"In Time","4 November 2011 ","1h 49min",/name/nm0629272?ref_=tt_ov_dr,/company/co0021592?ref_=cons_tt_dt_co_1,/name/nm0629272?ref_=tt_ov_wr,6.7,"$40,000,000","$12,050,368",UA,0.0000
tt1638355,"The Man from U.N.C.L.E.","28 August 2015 ","1h 56min",/name/nm0005363?ref_=tt_ov_dr,/company/co0026840?ref_=cons_tt_dt_co_1,/name/nm0005363?ref_=tt_ov_wr,7.3,"$75,000,000","$13,535,000","Rated PG-13 for action violence, some suggestive content, and partial nudity",0.0000
tt1640484,"Jumping the Broom","6 May 2011 ","1h 52min",/name/nm0015328?ref_=tt_ov_dr,/company/co0005883?ref_=cons_tt_dt_co_1,/name/nm0402804?ref_=tt_ov_wr,5.7,"$6,600,000","$15,215,487","Rated PG-13 for some sexual content",0.0000
tt1645170,"The Dictator","16 May 2012 ","1h 23min",/name/nm0153078?ref_=tt_ov_dr,/company/co0023400?ref_=cons_tt_dt_co_1,/name/nm0056187?ref_=tt_ov_wr,6.4,"$65,000,000","$17,435,092","Rated R for strong crude and sexual content, brief male nudity, language and some violent images",0.0000
tt1646971,"How to Train Your Dragon 2","13 June 2014 ","1h 42min",/name/nm0213450?ref_=tt_ov_dr,/company/co0129164?ref_=cons_tt_dt_co_1,/name/nm0213450?ref_=tt_ov_wr,7.8,"$145,000,000","$49,451,322","Rated PG for adventure action and some mild rude  humor",0.0000
tt1647668,"Million Dollar Arm","9 May 2014 ","2h 4min",/name/nm0318916?ref_=tt_ov_dr,/company/co0008970?ref_=cons_tt_dt_co_1,/name/nm0565336?ref_=tt_ov_wr,7.0,"$25,000,000","$10,511,000","Rated PG for mild language and some suggestive content",0.0000
tt1648179,"Here Comes the Boom","12 October 2012 ","1h 45min",/name/nm0178997?ref_=tt_ov_dr,/company/co0071509?ref_=cons_tt_dt_co_1,/name/nm1615610?ref_=tt_ov_wr,6.4,"$42,000,000","$11,816,596","Rated PG for bouts of MMA sports violence, some rude humor and language",0.0000
tt1648190,"The Dark Tower","25 August 2017 ","1h 35min",/name/nm1064048?ref_=tt_ov_dr,/company/co0026545?ref_=cons_tt_dt_co_1,/name/nm0326040?ref_=tt_ov_wr,5.7,"$60,000,000","$19,153,698","Rated PG-13 for thematic material including sequences of gun violence and action.",0.0000
