movieid,actorid,rank
tt2543164,/name/nm0001845?ref_=tt_ov_st_sm,3
tt1355644,/name/nm2225369?ref_=tt_ov_st_sm,1
tt1355644,/name/nm0695435?ref_=tt_ov_st_sm,2
tt1355644,/name/nm0790688?ref_=tt_ov_st_sm,3
tt1700841,/name/nm0736622?ref_=tt_ov_st_sm,1
tt1700841,/name/nm1325419?ref_=tt_ov_st_sm,2
tt1700841,/name/nm1706767?ref_=tt_ov_st_sm,3
tt2869728,/name/nm0001084?ref_=tt_ov_st_sm,1
tt2869728,/name/nm0366389?ref_=tt_ov_st_sm,2
tt2869728,/name/nm1754366?ref_=tt_ov_st_sm,3
tt2140479,/name/nm0000255?ref_=tt_ov_st_sm,1
tt2140479,/name/nm0447695?ref_=tt_ov_st_sm,2
tt2140479,/name/nm0799777?ref_=tt_ov_st_sm,3
tt3949660,/name/nm1083271?ref_=tt_ov_st_sm,1
tt3949660,/name/nm0004715?ref_=tt_ov_st_sm,2
tt3949660,/name/nm1347153?ref_=tt_ov_st_sm,3
tt4094724,/name/nm0342029?ref_=tt_ov_st_sm,1
tt4094724,/name/nm0593310?ref_=tt_ov_st_sm,2
tt4094724,/name/nm0932112?ref_=tt_ov_st_sm,3
tt2567026,/name/nm1985859?ref_=tt_ov_st_sm,1
tt2567026,/name/nm0000136?ref_=tt_ov_st_sm,2
tt2567026,/name/nm0000307?ref_=tt_ov_st_sm,3
tt3631112,/name/nm1289434?ref_=tt_ov_st_sm,1
tt3631112,/name/nm2247245?ref_=tt_ov_st_sm,2
tt3631112,/name/nm0272581?ref_=tt_ov_st_sm,3
tt4624424,/name/nm1676221?ref_=tt_ov_st_sm,1
tt4624424,/name/nm1764070?ref_=tt_ov_st_sm,2
tt4624424,/name/nm0001288?ref_=tt_ov_st_sm,3
tt3410834,/name/nm0940362?ref_=tt_ov_st_sm,1
tt3410834,/name/nm3772243?ref_=tt_ov_st_sm,2
tt3410834,/name/nm0001099?ref_=tt_ov_st_sm,3
tt3110958,/name/nm0251986?ref_=tt_ov_st_sm,1
tt3110958,/name/nm0749263?ref_=tt_ov_st_sm,2
tt3110958,/name/nm0000437?ref_=tt_ov_st_sm,3
tt3416828,/name/nm0005380?ref_=tt_ov_st_sm,1
tt3416828,/name/nm0001459?ref_=tt_ov_st_sm,2
tt3416828,/name/nm0000491?ref_=tt_ov_st_sm,3
tt2702724,/name/nm0565250?ref_=tt_ov_st_sm,1
tt2702724,/name/nm0068338?ref_=tt_ov_st_sm,2
tt2702724,/name/nm0227759?ref_=tt_ov_st_sm,3
tt3300542,/name/nm0124930?ref_=tt_ov_st_sm,1
tt3300542,/name/nm0001173?ref_=tt_ov_st_sm,2
tt3300542,/name/nm0000151?ref_=tt_ov_st_sm,3
tt4257926,/name/nm0004950?ref_=tt_ov_st_sm,1
tt4257926,/name/nm4814017?ref_=tt_ov_st_sm,2
tt4257926,/name/nm0376540?ref_=tt_ov_st_sm,3
tt1860357,/name/nm0000242?ref_=tt_ov_st_sm,1
tt1860357,/name/nm0000621?ref_=tt_ov_st_sm,2
tt1860357,/name/nm0341174?ref_=tt_ov_st_sm,3
tt4501244,/name/nm3614913?ref_=tt_ov_st_sm,1
tt4501244,/name/nm0290556?ref_=tt_ov_st_sm,2
tt4501244,/name/nm0024425?ref_=tt_ov_st_sm,3
tt3760922,/name/nm0889522?ref_=tt_ov_st_sm,1
tt3760922,/name/nm0179173?ref_=tt_ov_st_sm,2
tt3760922,/name/nm0176073?ref_=tt_ov_st_sm,3
tt3393786,/name/nm0000129?ref_=tt_ov_st_sm,1
tt3393786,/name/nm1130627?ref_=tt_ov_st_sm,2
tt3393786,/name/nm0388038?ref_=tt_ov_st_sm,3
tt2671706,/name/nm0000243?ref_=tt_ov_st_sm,1
tt2671706,/name/nm0205626?ref_=tt_ov_st_sm,2
tt2671706,/name/nm0376610?ref_=tt_ov_st_sm,3
tt2674426,/name/nm3592338?ref_=tt_ov_st_sm,1
tt2674426,/name/nm3510471?ref_=tt_ov_st_sm,2
tt2674426,/name/nm0005216?ref_=tt_ov_st_sm,3
tt3691740,/name/nm0753314?ref_=tt_ov_st_sm,1
tt3691740,/name/nm6982717?ref_=tt_ov_st_sm,2
tt3691740,/name/nm0934362?ref_=tt_ov_st_sm,3
tt4052882,/name/nm0515116?ref_=tt_ov_st_sm,1
tt4052882,/name/nm1049982?ref_=tt_ov_st_sm,2
tt4052882,/name/nm8427114?ref_=tt_ov_st_sm,3
tt1711525,/name/nm0000867?ref_=tt_ov_st_sm,1
tt1711525,/name/nm1601397?ref_=tt_ov_st_sm,2
tt1711525,/name/nm2554352?ref_=tt_ov_st_sm,3
tt3628584,/name/nm0001084?ref_=tt_ov_st_sm,1
tt3628584,/name/nm0356021?ref_=tt_ov_st_sm,2
tt3628584,/name/nm0026364?ref_=tt_ov_st_sm,3
tt4172430,/name/nm1024677?ref_=tt_ov_st_sm,1
tt4172430,/name/nm1032567?ref_=tt_ov_st_sm,2
tt4172430,/name/nm0197647?ref_=tt_ov_st_sm,3
tt3741834,/name/nm2353862?ref_=tt_ov_st_sm,1
tt3741834,/name/nm0000173?ref_=tt_ov_st_sm,2
tt3741834,/name/nm1913734?ref_=tt_ov_st_sm,3
tt4302938,/name/nm0000234?ref_=tt_ov_st_sm,1
tt4302938,/name/nm3280686?ref_=tt_ov_st_sm,2
tt4302938,/name/nm0000190?ref_=tt_ov_st_sm,3
tt4034228,/name/nm0000729?ref_=tt_ov_st_sm,1
tt4034228,/name/nm0931329?ref_=tt_ov_st_sm,2
tt4034228,/name/nm0151419?ref_=tt_ov_st_sm,3
tt0803096,/name/nm1379938?ref_=tt_ov_st_sm,1
tt0803096,/name/nm1745736?ref_=tt_ov_st_sm,2
tt0803096,/name/nm0004936?ref_=tt_ov_st_sm,3
tt1292566,/name/nm0424848?ref_=tt_ov_st_sm,1
tt1292566,/name/nm2313103?ref_=tt_ov_st_sm,2
tt1292566,/name/nm0005182?ref_=tt_ov_st_sm,3
tt2823054,/name/nm1374980?ref_=tt_ov_st_sm,1
tt2823054,/name/nm2796745?ref_=tt_ov_st_sm,2
tt2823054,/name/nm0447695?ref_=tt_ov_st_sm,3
tt2034800,/name/nm0000354?ref_=tt_ov_st_sm,1
tt2034800,/name/nm1320897?ref_=tt_ov_st_sm,2
tt2034800,/name/nm0000353?ref_=tt_ov_st_sm,3
tt2005151,/name/nm1706767?ref_=tt_ov_st_sm,1
tt2005151,/name/nm1886602?ref_=tt_ov_st_sm,2
tt2005151,/name/nm3111373?ref_=tt_ov_st_sm,3
tt4649416,/name/nm0253708?ref_=tt_ov_st_sm,1
tt4649416,/name/nm0004898?ref_=tt_ov_st_sm,2
tt4649416,/name/nm0000418?ref_=tt_ov_st_sm,3
